Jumlah Saham yang Digunakan untuk Penghitungan Indeks IDX80,,,,,,
Periode Agustus  s.d. Oktober 2020,,,,,,
,,,,,,
,,,,,,
No.,Kode,Nama Saham,"Rasio Free Float
(%)",Jumlah Saham untuk Indeks (lembar),,Keterangan
,,,,Saat Ini,Hasil Evaluasi,
1,AALI,Astra Agro Lestari Tbk.,20.30%,"390,711,732","390,711,732",Tetap
2,ACES,Ace Hardware Indonesia Tbk.,40.03%,"6,865,145,000","6,865,145,000",Tetap
3,ADRO,Adaro Energy Tbk.,49.91%,"15,964,193,634","15,964,193,634",Tetap
4,AKRA,AKR Corporindo Tbk.,40.22%,"1,614,710,297","1,614,710,297",Tetap
5,ANTM,Aneka Tambang Tbk.,34.81%,"8,365,109,201","8,365,109,201",Tetap
6,APLN,Agung Podomoro Land Tbk.,17.28%,-,"3,922,443,667",Baru
7,ASII,Astra International Tbk.,45.09%,"18,254,034,111","18,254,034,111",Tetap
8,BBCA,Bank Central Asia Tbk.,42.92%,"3,470,576,856","3,351,559,807",Berubah
9,BBNI,Bank Negara Indonesia (Persero) Tbk.,40.00%,"7,384,867,957","7,384,867,957",Tetap
10,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,43.05%,"32,000,211,337","33,407,483,234",Berubah
11,BBTN,Bank Tabungan Negara (Persero) Tbk.,40.00%,"4,193,640,000","4,193,640,000",Tetap
12,BDMN,Bank Danamon Indonesia Tbk.,8.49%,-,"821,476,892",Baru
13,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,41.41%,"4,033,499,346","4,033,499,346",Tetap
14,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,20.52%,-,"3,050,368,404",Baru
15,BMRI,Bank Mandiri (Persero) Tbk.,40.00%,"18,479,999,999","18,479,999,999",Tetap
16,BMTR,Global Mediacom Tbk.,52.97%,-,"8,122,690,628",Baru
17,BNLI,Bank Permata Tbk.,10.87%,"3,017,763,294","3,017,763,294",Tetap
18,BRIS,Bank BRIsyariah Tbk.,17.97%,-,"1,728,525,740",Baru
19,BSDE,Bumi Serpong Damai Tbk.,42.09%,"8,911,220,337","8,911,027,870",Berubah
20,BTPS,Bank BTPN Syariah Tbk.,30.00%,"2,287,998,900","2,287,998,900",Tetap
21,BULL,Buana Lintas Lautan Tbk.,49.58%,-,"5,871,865,121",Baru
