No.,Kode,Nama Saham,Keterangan
1,AALI,Astra Agro Lestari Tbk.,
2,ACES,Ace Hardware Indonesia Tbk.,
3,ADRO,Adaro Energy Tbk.,
4,AKRA,AKR Corporindo Tbk.,
5,ANTM,Aneka Tambang Tbk.,
6,APLN,Agung Podomoro Land Tbk.,Baru
7,ASII,Astra International Tbk.,
8,BBCA,Bank Central Asia Tbk.,
9,BBNI,Bank Negara Indonesia (Persero) Tbk.,
10,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,
11,BBTN,Bank Tabungan Negara (Persero) Tbk.,
12,BDMN,Bank Danamon Indonesia Tbk.,Baru
13,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,
14,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,Baru
15,BMRI,Bank Mandiri (Persero) Tbk.,
16,BMTR,Global Mediacom Tbk.,Baru
17,BNLI,Bank Permata Tbk.,
18,BRIS,Bank BRIsyariah Tbk.,Baru
19,BSDE,Bumi Serpong Damai Tbk.,
20,BTPS,Bank Tabungan Pensiunan Nasional Syariah Tbk.,
21,BULL,Buana Lintas Lautan Tbk.,Baru
22,CLEO,Sariguna Primatirta Tbk.,Baru
23,CPIN,Charoen Pokphand Indonesia Tbk,
24,CTRA,Ciputra Development Tbk.,
25,DMAS,Puradelta Lestari Tbk.,
26,ELSA,Elnusa Tbk.,
27,ERAA,Erajaya Swasembada Tbk.,
28,EXCL,XL Axiata Tbk.,
29,GGRM,Gudang Garam Tbk.,
30,HMSP,H.M. Sampoerna Tbk.,
31,HOKI,Buyung Poetra Sembada Tbk.,
32,ICBP,Indofood CBP Sukses Makmur Tbk.,
33,INCO,Vale Indonesia Tbk.,
34,INDF,Indofood Sukses Makmur Tbk.,
35,INKP,Indah Kiat Pulp & Paper Tbk.,
36,INTP,Indocement Tunggal Prakarsa Tbk.,
37,ISAT,Indosat Tbk.,
38,ITMG,Indo Tambangraya Megah Tbk.,
39,JPFA,Japfa Comfeed Indonesia Tbk.,
40,JSMR,Jasa Marga (Persero) Tbk.,
41,KAEF,Kimia Farma Tbk.,Baru
42,KLBF,Kalbe Farma Tbk.,
43,LINK,Link Net Tbk.,Baru
44,LSIP,PP London Sumatra Indonesia Tbk.,
45,MAIN,Malindo Feedmill Tbk.,
46,MAPI,Mitra Adiperkasa Tbk.,
47,MDKA,Merdeka Copper Gold Tbk.,
48,MEDC,Medco Energi Internasional Tbk.,
49,MIKA,Mitra Keluarga Karyasehat Tbk.,
50,MNCN,Media Nusantara Citra Tbk.,
51,MTDL,Metrodata Electronics Tbk.,
52,MYOR,Mayora Indah Tbk.,
53,PGAS,Perusahaan Gas Negara Tbk.,
54,PNBN,Bank Pan Indonesia Tbk,
55,PNLF,Panin Financial Tbk.,
56,PTBA,Bukit Asam Tbk.,
57,PTPP,PP (Persero) Tbk.,
58,PWON,Pakuwon Jati Tbk.,
59,RALS,Ramayana Lestari Sentosa Tbk.,
60,SCMA,Surya Citra Media Tbk.,
61,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,
62,SMBR,Semen Baturaja (Persero) Tbk.,Baru
63,SMGR,Semen Indonesia (Persero) Tbk.,
64,SMRA,Summarecon Agung Tbk.,
65,SMSM,Selamat Sempurna Tbk.,
66,SRIL,Sri Rejeki Isman Tbk.,
67,SSIA,Surya Semesta Internusa Tbk.,
68,TBIG,Tower Bersama Infrastructure Tbk.,
69,TINS,Timah Tbk.,
70,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,
71,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,
72,TOWR,Sarana Menara Nusantara Tbk.,
73,TPIA,Chandra Asri Petrochemical Tbk.,
74,UNTR,United Tractors Tbk.,
75,UNVR,Unilever Indonesia Tbk.,
76,WEGE,Wijaya Karya Bangunan Gedung Tbk.,
77,WIKA,Wijaya Karya (Persero) Tbk.,
78,WOOD,Integra Indocabinet Tbk.,
79,WSBP,Waskita Beton Precast Tbk.,
80,WTON,Wijaya Karya Beton Tbk.,
