"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 08, 2020","505.51","508.16","508.67","501.82","1.59B","-0.24%"
"Dec 07, 2020","506.71","502.34","507.77","501.93","1.48B","2.14%"
"Dec 04, 2020","496.12","498.24","498.41","493.05","1.28B","-0.55%"
"Dec 03, 2020","498.88","502.16","503.45","496.86","1.48B","-0.18%"
"Dec 02, 2020","499.80","495.27","499.80","491.40","1.71B","1.79%"
"Dec 01, 2020","491.00","482.58","493.47","477.34","1.90B","2.55%"
"Nov 30, 2020","478.79","498.93","500.29","473.11","3.99B","-4.23%"
"Nov 27, 2020","499.93","503.46","504.29","498.39","1.42B","-0.30%"
"Nov 26, 2020","501.41","490.71","501.41","490.71","1.88B","1.85%"
"Nov 25, 2020","492.32","499.69","502.50","492.32","2.24B","-0.40%"
"Nov 24, 2020","494.28","494.76","495.99","491.05","1.79B","0.68%"
"Nov 23, 2020","490.95","482.95","491.34","482.95","1.29B","1.94%"
"Nov 20, 2020","481.63","483.38","486.52","479.92","1.27B","-0.15%"
"Nov 19, 2020","482.37","479.28","485.75","478.41","1.53B","0.07%"
"Nov 18, 2020","482.02","479.64","484.13","479.64","1.39B","0.49%"
"Nov 17, 2020","479.69","478.69","483.22","476.96","1.80B","0.88%"
"Nov 16, 2020","475.49","478.34","480.60","472.43","1.22B","0.49%"
"Nov 13, 2020","473.18","471.24","474.42","468.84","1.08B","0.04%"
"Nov 12, 2020","472.98","478.15","478.43","471.45","1.18B","-1.54%"
"Nov 11, 2020","480.38","473.13","480.46","472.05","2.33B","2.20%"
"Nov 10, 2020","470.05","467.12","470.98","463.89","2.43B","2.98%"
"Nov 09, 2020","456.43","459.27","460.79","450.96","1.29B","0.64%"
"Nov 06, 2020","453.51","445.18","453.91","441.00","1.47B","2.35%"
"Nov 05, 2020","443.10","431.93","443.37","431.05","1.44B","4.53%"
"Nov 04, 2020","423.88","432.69","434.36","423.88","862.36M","-1.66%"
"Nov 03, 2020","431.04","430.07","431.23","428.00","819.66M","0.75%"
"Nov 02, 2020","427.83","425.71","429.55","421.62","2.00B","-0.21%"
"Oct 27, 2020","428.71","429.16","433.05","427.47","1.56B","-0.50%"
"Oct 26, 2020","430.88","428.76","433.34","428.07","1.38B","0.60%"
"Oct 23, 2020","428.30","431.25","431.33","426.11","1.57B","0.04%"
"Oct 22, 2020","428.15","425.40","428.67","423.20","1.78B","0.19%"
"Oct 21, 2020","427.33","429.45","431.12","426.16","2.29B","0.09%"
"Oct 20, 2020","426.95","428.70","430.19","424.73","1.90B","-0.51%"
"Oct 19, 2020","429.15","427.68","429.15","424.44","2.05B","0.88%"
"Oct 16, 2020","425.42","426.23","426.92","420.68","1.55B","0.09%"
"Oct 15, 2020","425.04","432.34","432.92","424.93","2.71B","-1.83%"
"Oct 14, 2020","432.98","426.59","433.14","425.24","2.79B","1.59%"
"Oct 13, 2020","426.19","422.67","426.37","418.16","1.20B","0.82%"
"Oct 12, 2020","422.72","423.06","424.31","421.68","1.10B","0.64%"
"Oct 09, 2020","420.02","419.11","421.09","417.78","919.39M","0.12%"
"Oct 08, 2020","419.54","418.16","419.54","415.05","1.07B","0.81%"
"Oct 07, 2020","416.18","412.99","417.30","411.45","1.04B","0.03%"
"Oct 06, 2020","416.07","417.72","419.38","415.59","1.14B","1.15%"
"Oct 05, 2020","411.32","411.94","413.23","407.49","700.81M","0.54%"
"Oct 02, 2020","409.10","415.06","415.13","404.03","1.07B","-1.40%"
"Oct 01, 2020","414.89","405.76","414.89","405.64","1.11B","3.38%"
