"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 08, 2020","933.28","939.18","940.06","927.79","3.75B","-0.32%"
"Dec 07, 2020","936.32","927.90","938.27","927.02","2.84B","2.19%"
"Dec 04, 2020","916.25","920.29","920.49","910.44","2.31B","-0.53%"
"Dec 03, 2020","921.18","927.29","929.72","917.16","3.31B","-0.13%"
"Dec 02, 2020","922.36","912.68","922.36","905.94","3.73B","1.94%"
"Dec 01, 2020","904.83","890.15","908.57","879.50","3.46B","2.47%"
"Nov 30, 2020","883.06","918.94","921.26","872.24","9.81B","-4.03%"
"Nov 27, 2020","920.11","924.66","926.37","916.99","3.35B","-0.07%"
"Nov 26, 2020","920.78","900.96","920.78","900.96","2.80B","1.92%"
"Nov 25, 2020","903.46","917.55","922.83","903.36","3.41B","-0.49%"
"Nov 24, 2020","907.88","908.54","910.81","902.10","3.10B","0.69%"
"Nov 23, 2020","901.66","887.35","902.21","887.35","2.74B","1.89%"
"Nov 20, 2020","884.90","889.29","894.86","881.98","2.42B","-0.25%"
"Nov 19, 2020","887.12","880.90","892.68","879.36","2.91B","0.17%"
"Nov 18, 2020","885.65","881.82","889.57","881.82","3.41B","0.44%"
"Nov 17, 2020","881.81","879.60","888.24","876.84","3.57B","0.96%"
"Nov 16, 2020","873.44","876.91","880.94","867.05","2.48B","0.72%"
"Nov 13, 2020","867.20","863.57","869.31","859.24","1.90B","0.06%"
"Nov 12, 2020","866.68","876.17","876.70","864.16","2.19B","-1.52%"
"Nov 11, 2020","880.02","869.41","880.85","867.37","4.89B","1.86%"
"Nov 10, 2020","863.97","858.60","865.53","853.01","4.55B","2.79%"
"Nov 09, 2020","840.51","845.54","848.48","830.78","3.42B","0.67%"
"Nov 06, 2020","834.90","820.56","835.60","812.80","2.78B","2.30%"
"Nov 05, 2020","816.16","795.71","816.48","794.34","2.58B","4.48%"
"Nov 04, 2020","781.13","797.94","800.94","781.13","1.96B","-1.72%"
"Nov 03, 2020","794.77","793.01","795.09","789.51","2.09B","0.78%"
"Nov 02, 2020","788.60","784.61","791.50","777.54","2.36B","-0.24%"
"Oct 27, 2020","790.50","791.09","797.60","787.79","1.93B","-0.47%"
"Oct 26, 2020","794.21","790.45","798.47","789.47","1.94B","0.56%"
"Oct 23, 2020","789.82","794.15","794.36","786.02","2.36B","0.16%"
"Oct 22, 2020","788.56","783.99","789.56","780.11","2.33B","0.17%"
"Oct 21, 2020","787.20","790.95","793.79","785.23","2.78B","0.10%"
"Oct 20, 2020","786.44","789.54","791.96","782.45","2.34B","-0.51%"
"Oct 19, 2020","790.45","787.58","790.45","782.14","2.91B","0.89%"
"Oct 16, 2020","783.45","784.80","786.21","775.06","1.92B","0.07%"
"Oct 15, 2020","782.88","795.35","796.74","782.52","3.17B","-1.68%"
"Oct 14, 2020","796.28","784.27","796.80","781.95","3.38B","1.62%"
"Oct 13, 2020","783.55","777.31","783.97","769.28","1.96B","0.80%"
"Oct 12, 2020","777.30","777.68","779.96","775.61","1.84B","0.72%"
"Oct 09, 2020","771.77","769.82","773.13","767.65","1.45B","0.17%"
"Oct 08, 2020","770.45","767.90","770.45","762.43","1.59B","0.83%"
"Oct 07, 2020","764.09","758.44","766.00","755.79","1.42B","-0.01%"
"Oct 06, 2020","764.16","766.77","769.62","763.26","1.55B","1.20%"
"Oct 05, 2020","755.09","756.02","758.29","748.00","1.00B","0.56%"
"Oct 02, 2020","750.86","761.44","761.54","741.51","1.56B","-1.34%"
"Oct 01, 2020","761.05","745.17","761.05","744.96","1.45B","3.24%"
